facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer
6,14000134,Lost Grove Lake,05/17/2017 10:10:00,AMBLAKE-ISU,77238-39-2,Microcystin,Total,,0.6,ug/l,False,0.6,,,ISU 546 OH,ISULAKE,Actual,SW,Water,,,SCOTT,07080103,Lake,
6,14000134,Lost Grove Lake,06/26/2017 10:15:00,AMBLAKE-ISU,77238-39-2,Microcystin,Total,,0.6,ug/l,False,0.6,,,ISU 546 OH,ISULAKE,Actual,SW,Water,,,SCOTT,07080103,Lake,
6,14000134,Lost Grove Lake,08/14/2017 09:51:00,AMBLAKE-ISU,77238-39-2,Microcystin,Total,,2.2,ug/l,True,0.6,,,ISU 546 OH,ISULAKE,Actual,SW,Water,,,SCOTT,07080103,Lake,
6,14000134,Lost Grove Lake,06/11/2018 09:14:00,AMBLAKE-ISU,77238-39-2,Microcystin,Total,,0.6,ug/l,False,0.6,,,ISU 546 OH,ISULAKE,Actual,SW,Water,,,SCOTT,07080103,Lake,
6,14000134,Lost Grove Lake,07/30/2018 10:24:00,AMBLAKE-ISU,77238-39-2,Microcystin,Total,,0.6,ug/l,False,0.6,,,ISU 546 OH,ISULAKE,Actual,SW,Water,,,SCOTT,07080103,Lake,
6,14000134,Lost Grove Lake,09/09/2018 10:00:00,AMBLAKE-ISU,77238-39-2,Microcystin,Total,,0.6,ug/l,False,0.6,,,ISU 546 OH,ISULAKE,Actual,SW,Water,,,SCOTT,07080103,Lake,
6,14000235,Ada Hayden Heritage Park Lake,08/07/2018 16:27:00,AMBLAKE-ISU,77238-39-2,Microcystin,Total,,0.6,ug/l,False,0.6,,,ISU 546 OH,ISULAKE,Actual,SW,Water,,,STORY,07080105,Lake,
6,14000235,Ada Hayden Heritage Park Lake,09/20/2018 07:04:00,AMBLAKE-ISU,77238-39-2,Microcystin,Total,,0.6,ug/l,False,0.6,,,ISU 546 OH,ISULAKE,Actual,SW,Water,,,STORY,07080105,Lake,
6,14000235,Ada Hayden Heritage Park Lake,06/19/2018 15:09:00,AMBLAKE-ISU,77238-39-2,Microcystin,Total,,0.6,ug/l,False,0.6,,,ISU 546 OH,ISULAKE,Actual,SW,Water,,,STORY,07080105,Lake,
6,21040001,Honey Creek Resort St. Park,08/15/2018 09:23:00,BEACH,77238-39-2,Microcystin,Total,,0.75,ug/l,False,0.75,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,08/22/2018 09:34:00,BEACH,77238-39-2,Microcystin,Total,,0.75,ug/l,False,0.75,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,08/29/2018 09:42:00,BEACH,77238-39-2,Microcystin,Total,,0.75,ug/l,False,0.75,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,05/22/2019 10:50:00,BEACH,77238-39-2,Microcystin,Total,,0.75,ug/l,False,0.75,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,05/29/2019 09:39:00,BEACH,77238-39-2,Microcystin,Total,,0.75,ug/l,False,0.75,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,08/20/2013 13:10:00,BEACH,77238-39-2,Microcystin,Total,,0.22,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,08/27/2013 15:00:00,BEACH,77238-39-2,Microcystin,Total,,0.37,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,05/24/2016 11:00:00,BEACH,77238-39-2,Microcystin,Total,,0.15,ug/l,False,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,06/01/2016 10:30:00,BEACH,77238-39-2,Microcystin,Total,,0.32,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,06/06/2016 13:00:00,BEACH,77238-39-2,Microcystin,Total,,0.15,ug/l,False,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,06/14/2016 10:45:00,BEACH,77238-39-2,Microcystin,Total,,0.15,ug/l,False,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,06/21/2016 10:15:00,BEACH,77238-39-2,Microcystin,Total,,0.15,ug/l,False,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,06/28/2016 10:00:00,BEACH,77238-39-2,Microcystin,Total,,0.15,ug/l,False,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,07/06/2016 10:35:00,BEACH,77238-39-2,Microcystin,Total,,0.15,ug/l,False,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,07/12/2016 11:30:00,BEACH,77238-39-2,Microcystin,Total,,0.19,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,07/19/2016 09:40:00,BEACH,77238-39-2,Microcystin,Total,,0.39,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,07/26/2016 09:30:00,BEACH,77238-39-2,Microcystin,Total,,0.79,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,08/02/2016 09:45:00,BEACH,77238-39-2,Microcystin,Total,,0.92,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,08/09/2016 09:55:00,BEACH,77238-39-2,Microcystin,Total,,1.16,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,08/16/2016 10:30:00,BEACH,77238-39-2,Microcystin,Total,,0.95,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,08/23/2016 11:06:00,BEACH,77238-39-2,Microcystin,Total,,0.96,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,08/30/2016 11:03:00,BEACH,77238-39-2,Microcystin,Total,,0.91,ug/l,True,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,05/19/2015 11:15:00,BEACH,77238-39-2,Microcystin,Total,,0.15,ug/l,False,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,05/27/2015 11:25:00,BEACH,77238-39-2,Microcystin,Total,,0.15,ug/l,False,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
6,21040001,Honey Creek Resort St. Park,06/02/2015 10:43:00,BEACH,77238-39-2,Microcystin,Total,,0.15,ug/l,False,0.15,,,TOT MICROCYSTIN,BEA002,Actual,SW,Water,,,APPANOOSE,10280201,Lake,
